member_id,name,constituency,email,website,office_type,office_title,office_address,office_city,office_province,office_postal_code,office_note,office_phone,office_fax,source,time_retrieved
89156,Ziad Aboultaif,,ziad.aboultaif@parl.gc.ca,http://ziadaboultaif.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-0946,613-992-0973,https://www.ourcommons.ca/members/en/ziad-aboultaif(89156),1707851479772
89156,Ziad Aboultaif,,ziad.aboultaif@parl.gc.ca,http://ziadaboultaif.ca,Constituency Office,Main office -  Edmonton,,Edmonton,Alberta,T5A 1B7,,780-822-1540,780-822-1544,https://www.ourcommons.ca/members/en/ziad-aboultaif(89156),1707851479772
105340,Scott Aitchison,,Scott.Aitchison@parl.gc.ca,http://scottaitchisonmp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-944-7740,613-992-5092,https://www.ourcommons.ca/members/en/scott-aitchison(105340),1707851479772
105340,Scott Aitchison,,Scott.Aitchison@parl.gc.ca,http://scottaitchisonmp.ca,Constituency Office,Main office -  Huntsville,,Huntsville,Ontario,P1H 1M4,,705-789-4640,705-789-8857,https://www.ourcommons.ca/members/en/scott-aitchison(105340),1707851479772
72029,Dan Albas,,dan.albas@parl.gc.ca,http://www.danalbas.com,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-1702,613-995-1154,https://www.ourcommons.ca/members/en/dan-albas(72029),1707851479772
72029,Dan Albas,,dan.albas@parl.gc.ca,http://www.danalbas.com,Constituency Office,Main office -  West Kelowna,,West Kelowna,British Columbia,V4T 2N5,,1-800-665-8711,250-707-2153,https://www.ourcommons.ca/members/en/dan-albas(72029),1707851479772
72029,Dan Albas,,dan.albas@parl.gc.ca,http://www.danalbas.com,Constituency Office,Summerland,,Summerland,British Columbia,V0H 1Z0,,,,https://www.ourcommons.ca/members/en/dan-albas(72029),1707851479772
89258,John Aldag,,john.aldag@parl.gc.ca,http://johnaldagmp.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-0884,613-992-0898,https://www.ourcommons.ca/members/en/john-aldag(89258),1707851479772
89258,John Aldag,,john.aldag@parl.gc.ca,http://johnaldagmp.ca,Constituency Office,Main office -  Surrey,,Surrey,British Columbia,V4N 3G6,,604-575-6595,604-575-6599,https://www.ourcommons.ca/members/en/john-aldag(89258),1707851479772
89535,The Honourable Omar Alghabra,,omar.alghabra@parl.gc.ca,http://omaralghabra.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-1301,613-992-1321,https://www.ourcommons.ca/members/en/omar-alghabra(89535),1707851479772
89535,The Honourable Omar Alghabra,,omar.alghabra@parl.gc.ca,http://omaralghabra.libparl.ca,Constituency Office,Main office -  Mississauga,,Mississauga,Ontario,L5R 3K6,,905-848-8595,905-848-2712,https://www.ourcommons.ca/members/en/omar-alghabra(89535),1707851479772
110339,Shafqat Ali,,shafqat.ali@parl.gc.ca,http://shafqatali.libparl.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-9105,613-947-0443,https://www.ourcommons.ca/members/en/shafqat-ali(110339),1707851479772
110339,Shafqat Ali,,shafqat.ali@parl.gc.ca,http://shafqatali.libparl.ca,Constituency Office,Main office -  Brampton,,Brampton,Ontario,L6W 4N6,,905-790-9211,905-790-9507,https://www.ourcommons.ca/members/en/shafqat-ali(110339),1707851479772
25446,Dean Allison,,dean.allison@parl.gc.ca,http://www.deanallison.ca,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-2772,613-992-2727,https://www.ourcommons.ca/members/en/dean-allison(25446),1707851479772
25446,Dean Allison,,dean.allison@parl.gc.ca,http://www.deanallison.ca,Constituency Office,Main office -  Beamsville,,Beamsville,Ontario,L0R 1B0,,905-563-7900,905-563-7500,https://www.ourcommons.ca/members/en/dean-allison(25446),1707851479772
