honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved
,Ziad,Aboultaif,Edmonton Manning,Alberta,Conservative,2021-09-20T00:00:00,1706044273757
,Scott,Aitchison,Parry Sound—Muskoka,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
,Dan,Albas,Central Okanagan—Similkameen—Nicola,British Columbia,Conservative,2021-09-20T00:00:00,1706044273757
,John,Aldag,Cloverdale—Langley City,British Columbia,Liberal,2021-09-20T00:00:00,1706044273757
Hon.,Omar,Alghabra,Mississauga Centre,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Shafqat,Ali,Brampton Centre,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Dean,Allison,Niagara West,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
Hon.,Anita,Anand,Oakville,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
Hon.,Gary,Anandasangaree,Scarborough—Rouge Park,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Charlie,Angus,Timmins—James Bay,Ontario,NDP,2021-09-20T00:00:00,1706044273757
,Mel,Arnold,North Okanagan—Shuswap,British Columbia,Conservative,2021-09-20T00:00:00,1706044273757
,René,Arseneault,Madawaska—Restigouche,New Brunswick,Liberal,2021-09-20T00:00:00,1706044273757
,Chandra,Arya,Nepean,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Niki,Ashton,Churchill—Keewatinook Aski,Manitoba,NDP,2021-09-20T00:00:00,1706044273757
,Jenica,Atwin,Fredericton,New Brunswick,Liberal,2021-09-20T00:00:00,1706044273757
,Taylor,Bachrach,Skeena—Bulkley Valley,British Columbia,NDP,2021-09-20T00:00:00,1706044273757
,Vance,Badawey,Niagara Centre,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Parm,Bains,Steveston—Richmond East,British Columbia,Liberal,2021-09-20T00:00:00,1706044273757
,Yvan,Baker,Etobicoke Centre,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Tony,Baldinelli,Niagara Falls,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
,John,Barlow,Foothills,Alberta,Conservative,2021-09-20T00:00:00,1706044273757
,Michael,Barrett,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
,Lisa Marie,Barron,Nanaimo—Ladysmith,British Columbia,NDP,2021-09-20T00:00:00,1706044273757
,Xavier,Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706044273757
,Jaime,Battiste,Sydney—Victoria,Nova Scotia,Liberal,2021-09-20T00:00:00,1706044273757
,Mario,Beaulieu,La Pointe-de-l'Île,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706044273757
Hon.,Terry,Beech,Burnaby North—Seymour,British Columbia,Liberal,2021-09-20T00:00:00,1706044273757
,Rachel,Bendayan,Outremont,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Stéphane,Bergeron,Montarville,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706044273757
,Luc,Berthold,Mégantic—L'Érable,Quebec,Conservative,2021-09-20T00:00:00,1706044273757
,Sylvie,Bérubé,Abitibi—Baie-James—Nunavik—Eeyou,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706044273757
,James,Bezan,Selkirk—Interlake—Eastman,Manitoba,Conservative,2021-09-20T00:00:00,1706044273757
Hon.,Marie-Claude,Bibeau,Compton—Stanstead,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Chris,Bittle,St. Catharines,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Daniel,Blaikie,Elmwood—Transcona,Manitoba,NDP,2021-09-20T00:00:00,1706044273757
Hon.,Bill,Blair,Scarborough Southwest,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Yves-François,Blanchet,Beloeil—Chambly,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706044273757
,Maxime,Blanchette-Joncas,Rimouski-Neigette—Témiscouata—Les Basques,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706044273757
,Rachel,Blaney,North Island—Powell River,British Columbia,NDP,2021-09-20T00:00:00,1706044273757
,Kelly,Block,Carlton Trail—Eagle Creek,Saskatchewan,Conservative,2021-09-20T00:00:00,1706044273757
,Kody,Blois,Kings—Hants,Nova Scotia,Liberal,2021-09-20T00:00:00,1706044273757
Hon.,Randy,Boissonnault,Edmonton Centre,Alberta,Liberal,2021-09-20T00:00:00,1706044273757
,Alexandre,Boulerice,Rosemont—La Petite-Patrie,Quebec,NDP,2021-09-20T00:00:00,1706044273757
,Valerie,Bradford,Kitchener South—Hespeler,Ontario,Liberal,2021-09-20T00:00:00,1706044273757
,Richard,Bragdon,Tobique—Mactaquac,New Brunswick,Conservative,2021-09-20T00:00:00,1706044273757
,John,Brassard,Barrie—Innisfil,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
,Élisabeth,Brière,Sherbrooke,Quebec,Liberal,2021-09-20T00:00:00,1706044273757
,Larry,Brock,Brantford—Brant,Ontario,Conservative,2021-09-20T00:00:00,1706044273757
