member_id,honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved,source
89156,,Ziad,Aboultaif,Edmonton Manning,Alberta,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/ziad-aboultaif(89156)
105340,,Scott,Aitchison,Parry Sound—Muskoka,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/scott-aitchison(105340)
72029,,Dan,Albas,Central Okanagan—Similkameen—Nicola,British Columbia,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/dan-albas(72029)
89258,,John,Aldag,Cloverdale—Langley City,British Columbia,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/john-aldag(89258)
89535,Hon.,Omar,Alghabra,Mississauga Centre,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/omar-alghabra(89535)
110339,,Shafqat,Ali,Brampton Centre,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/shafqat-ali(110339)
25446,,Dean,Allison,Niagara West,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/dean-allison(25446)
96081,Hon.,Anita,Anand,Oakville,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/anita-anand(96081)
89449,Hon.,Gary,Anandasangaree,Scarborough—Rouge Park,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/gary-anandasangaree(89449)
25470,,Charlie,Angus,Timmins—James Bay,Ontario,NDP,2021-09-20T00:00:00,1706738730620,/members/en/charlie-angus(25470)
89294,,Mel,Arnold,North Okanagan—Shuswap,British Columbia,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/mel-arnold(89294)
89383,,René,Arseneault,Madawaska—Restigouche,New Brunswick,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/rene-arseneault(89383)
88860,,Chandra,Arya,Nepean,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/chandra-arya(88860)
36037,,Niki,Ashton,Churchill—Keewatinook Aski,Manitoba,NDP,2021-09-20T00:00:00,1706738730620,/members/en/niki-ashton(36037)
104586,,Jenica,Atwin,Fredericton,New Brunswick,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/jenica-atwin(104586)
105854,,Taylor,Bachrach,Skeena—Bulkley Valley,British Columbia,NDP,2021-09-20T00:00:00,1706738730620,/members/en/taylor-bachrach(105854)
88867,,Vance,Badawey,Niagara Centre,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/vance-badawey(88867)
111067,,Parm,Bains,Steveston—Richmond East,British Columbia,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/parm-bains(111067)
105121,,Yvan,Baker,Etobicoke Centre,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/yvan-baker(105121)
30330,,Tony,Baldinelli,Niagara Falls,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/tony-baldinelli(30330)
86261,,John,Barlow,Foothills,Alberta,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/john-barlow(86261)
102275,,Michael,Barrett,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/michael-barrett(102275)
111023,,Lisa Marie,Barron,Nanaimo—Ladysmith,British Columbia,NDP,2021-09-20T00:00:00,1706738730620,/members/en/lisa-marie-barron(111023)
88422,,Xavier,Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706738730620,/members/en/xavier-barsalou-duval(88422)
