id,honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved
1,,Ziad,Aboultaif,Edmonton Manning,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,,Scott,Aitchison,Parry Sound—Muskoka,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,Dan,Albas,Central Okanagan—Similkameen—Nicola,British Columbia,Conservative,2021-09-20T00:00:00,1706735067961
1,,John,Aldag,Cloverdale—Langley City,British Columbia,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Omar,Alghabra,Mississauga Centre,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Shafqat,Ali,Brampton Centre,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Dean,Allison,Niagara West,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,Hon.,Anita,Anand,Oakville,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,Hon.,Gary,Anandasangaree,Scarborough—Rouge Park,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Charlie,Angus,Timmins—James Bay,Ontario,NDP,2021-09-20T00:00:00,1706735067961
1,,Mel,Arnold,North Okanagan—Shuswap,British Columbia,Conservative,2021-09-20T00:00:00,1706735067961
1,,René,Arseneault,Madawaska—Restigouche,New Brunswick,Liberal,2021-09-20T00:00:00,1706735067961
1,,Chandra,Arya,Nepean,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Niki,Ashton,Churchill—Keewatinook Aski,Manitoba,NDP,2021-09-20T00:00:00,1706735067961
1,,Jenica,Atwin,Fredericton,New Brunswick,Liberal,2021-09-20T00:00:00,1706735067961
1,,Taylor,Bachrach,Skeena—Bulkley Valley,British Columbia,NDP,2021-09-20T00:00:00,1706735067961
1,,Vance,Badawey,Niagara Centre,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Parm,Bains,Steveston—Richmond East,British Columbia,Liberal,2021-09-20T00:00:00,1706735067961
1,,Yvan,Baker,Etobicoke Centre,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Tony,Baldinelli,Niagara Falls,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,John,Barlow,Foothills,Alberta,Conservative,2021-09-20T00:00:00,1706735067961
1,,Michael,Barrett,Leeds—Grenville—Thousand Islands and Rideau Lakes,Ontario,Conservative,2021-09-20T00:00:00,1706735067961
1,,Lisa Marie,Barron,Nanaimo—Ladysmith,British Columbia,NDP,2021-09-20T00:00:00,1706735067961
1,,Xavier,Barsalou-Duval,Pierre-Boucher—Les Patriotes—Verchères,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,,Jaime,Battiste,Sydney—Victoria,Nova Scotia,Liberal,2021-09-20T00:00:00,1706735067961
1,,Mario,Beaulieu,La Pointe-de-l'Île,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,Hon.,Terry,Beech,Burnaby North—Seymour,British Columbia,Liberal,2021-09-20T00:00:00,1706735067961
1,,Rachel,Bendayan,Outremont,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Stéphane,Bergeron,Montarville,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,,Luc,Berthold,Mégantic—L'Érable,Quebec,Conservative,2021-09-20T00:00:00,1706735067961
1,,Sylvie,Bérubé,Abitibi—Baie-James—Nunavik—Eeyou,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706735067961
1,,James,Bezan,Selkirk—Interlake—Eastman,Manitoba,Conservative,2021-09-20T00:00:00,1706735067961
1,Hon.,Marie-Claude,Bibeau,Compton—Stanstead,Quebec,Liberal,2021-09-20T00:00:00,1706735067961
1,,Chris,Bittle,St. Catharines,Ontario,Liberal,2021-09-20T00:00:00,1706735067961
1,,Daniel,Blaikie,Elmwood—Transcona,Manitoba,NDP,2021-09-20T00:00:00,1706735067961
