member_id,time_retrieved,office_type,office_title,office_address,office_city,office_province_territory,office_postal_code,office_note,office_phone,office_fax,office_email,office_toll_free,office_tty,source_url
89156,1708745800262,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-0946,613-992-0973,,,,https://www.ourcommons.ca/members/en/ziad-aboultaif(89156)
89156,1708745800262,Constituency Office,Main office -  Edmonton,,Edmonton,Alberta,T5A 1B7,,780-822-1540,780-822-1544,,,,https://www.ourcommons.ca/members/en/ziad-aboultaif(89156)
105340,1708745800262,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-944-7740,613-992-5092,,,,https://www.ourcommons.ca/members/en/scott-aitchison(105340)
105340,1708745800262,Constituency Office,Main office -  Huntsville,,Huntsville,Ontario,P1H 1M4,,705-789-4640,705-789-8857,,,,https://www.ourcommons.ca/members/en/scott-aitchison(105340)
72029,1708745800262,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-995-1702,613-995-1154,,,,https://www.ourcommons.ca/members/en/dan-albas(72029)
72029,1708745800262,Constituency Office,Main office -  West Kelowna,,West Kelowna,British Columbia,V4T 2N5,,1-800-665-8711,250-707-2153,,,,https://www.ourcommons.ca/members/en/dan-albas(72029)
72029,1708745800262,Constituency Office,Summerland,,Summerland,British Columbia,V0H 1Z0,,,,,,,https://www.ourcommons.ca/members/en/dan-albas(72029)
89258,1708745800262,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-0884,613-992-0898,,,,https://www.ourcommons.ca/members/en/john-aldag(89258)
89258,1708745800262,Constituency Office,Main office -  Surrey,,Surrey,British Columbia,V4N 3G6,,604-575-6595,604-575-6599,,,,https://www.ourcommons.ca/members/en/john-aldag(89258)
89535,1708745800262,Hill Office,House of Commons *,,Ottawa,Ontario,K1A 0A6,* Mail may be sent postage-free to any member of Parliament.,613-992-1301,613-992-1321,,,,https://www.ourcommons.ca/members/en/omar-alghabra(89535)
89535,1708745800262,Constituency Office,Main office -  Mississauga,,Mississauga,Ontario,L5R 3K6,,905-848-8595,905-848-2712,,,,https://www.ourcommons.ca/members/en/omar-alghabra(89535)
