member_id,time_retrieved,office_type,office_title,office_address,office_city,office_province_territory,office_postal_code,office_note,office_phone,office_fax,office_email,office_toll_free,office_tty,source_url
104,1709323701131,Legislative office,,"Room 449/450
Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A5,, 416-326-7221,,aclancy-qp@ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
104,1709323701131,Constituency office,,"Suite 500
151 Frederick St.",Kitchener,Ontario,N2H 2M2,,519-579-5460  ,519-579-2121  ,AClancy-CO@ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7624,1709323701131,Constituency office,,630 Main St. E,Hamilton,Ontario,L8M 1J7,,905-544-9644  ,905-544-5152  ,SJama-CO@ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7624,1709323701131,Legislative office,,"Room 472
111 Wellesley St. W",Toronto,Ontario,M7A 1A8,,416-325-3043,416-325-3046,SJama-QP@ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7593,1709323701131,Legislative office,,"Room 157
Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A5,,416-325-0105,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7593,1709323701131,Constituency office,,"Suite L02
1200 Lawrence Ave. E",Toronto,Ontario,M3A 1C1,,416-494-6856,416-494-9937,ashamji.mpp.co@liberal.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7584,1709323701131,Ministry office,,"Ministry of Education
5th Floor
438 University Ave.",Toronto,Ontario,M7A 2A5,,,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7584,1709323701131,Constituency office,,"Suite 502
230 Westney Rd. S",Ajax,Ontario,L1S 7J5,,905-427-2060,905-427-6976,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7565,1709323701131,Constituency office,,237 Montreal Rd.,Vanier,Ontario,K1L 6C7,,613-744-4484,613-744-0889,LCollard.mpp.co@liberal.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7565,1709323701131,Legislative office,,"Room 165
Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A5,,416-325-0007,416-325-0172,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7564,1709323701131,Constituency office,,"Unit 204
4473 Innes Rd.",Orleans,Ontario,K4A 1A7,,613-834-8679,613-834-7647,sblais.mpp.co@liberal.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7564,1709323701131,Legislative office,,"Room 167
Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A5,,416-325-0035,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
NaN,1709323701131,Constituency office,,"Suite 500
151 Frederick St.",Kitchener,Ontario,N2H 2M2,,519-579-5460  ,519-579-2121  ,AClancy-CO@ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7479,1709323701131,Ministry office,,"Ministry of Education
5th Floor
438 University Ave.",Toronto,Ontario,M7A 2A5,,416-325-2600,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7479,1709323701131,Constituency office,,"Unit 1
2220 King Rd.",King City,Ontario,L7B 1L3,,647-560-9700  ,647-560-9701 ,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7489,1709323701131,Legislative office,,"Room 429/430
Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A5,,,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7489,1709323701131,Constituency office,,"Unit 701
50 Burnhamthorpe Road W.",Mississauga,Ontario,L5B 3C3,,905-890-1901,,natalia.kusendovaco@pc.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7601,1709323701131,Ministry office,,"Ministry of Natural Resources and Forestry
Whitney Block
Room 5501
99 Wellesley St. W",Toronto,Ontario,M7A 1W3,,,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7601,1709323701131,Constituency office,,"26A St. Lawrence St. W
P.O. Box 70",Madoc,Ontario,K0K 2K0,,613-473-1112,613-473-1397,,855-229-6676  ,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7601,1709323701131,Constituency office,,113 East St.,Napanee,Ontario,K8R 1S5,,613-354-3031,613-308-9685  ,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7448,1709323701131,Ministry office,,"Ministry of Environment, Conservation and Parks
5th Floor
777 Bay St.",Toronto,Ontario,M7A 2J3,,416-314-6790,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7448,1709323701131,Constituency office,,"Unit 1
237 Mapleview Dr. E",Barrie,Ontario,L4N 0W5,,705-722-0575  ,705-722-8835,andrea.khanjin@pc.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7483,1709323701131,Constituency office,,"Unit 105
400 York St.",London,Ontario,N6B 3N2,,519-432-7339,519-432-0613  ,TKernaghan-CO@ndp.on.ca,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7483,1709323701131,Legislative office,,"Room 362
Main Legislative Building, Queen's Park",Toronto,Ontario,M7A 1A8,,416-326-7568  ,416-326-7580  ,TKernaghan-QP@ndp.on.ca,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7592,1709323701131,Ministry office,,"Ministry of Agriculture, Food and Rural Affairs
11th Floor
77 Grenville St.",Toronto,Ontario,M7A 1B3,,416-326-6160,416-326-3119,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7592,1709323701131,Constituency office,,"Suite 100
111 Heritage Rd.",Chatham,Ontario,N7M 5W7,,519-351-0510   ,519-351-7714 ,,1-800-265-3992   ,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7592,1709323701131,Constituency office,,"Unit B
115 Erie St. N",Leamington,Ontario,N8H 3A3,,519-326-3367 ,519-326-0404   ,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7597,1709323701131,Ministry office,,"Ministry of Mines
Room 5501
5th Floor
99 Wellesley St. W",Toronto,Ontario,M7A 1W3,,,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7597,1709323701131,Constituency office,,310 Thomas Rd.,Amherstburg,Ontario,N9V 2Y9,,519-736-1550,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7596,1709323701131,Ministry office,,"Ministry of Municipal Affairs and Housing
17th Floor
777 Bay St.",Toronto,Ontario,M7A 2J3,,416-326-3072,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7596,1709323701131,Constituency office,,"Suite 201
750 Talbot St.",St. Thomas,Ontario,N5P 1E2,,519-631-5995,519-631-9478,,1-800-265-7638,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7588,1709323701131,Ministry office,,"Ministry of Citizenship and Multiculturalism
14th Floor
56 Wellesley St.",Toronto,Ontario,M5S 3L6,,,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7588,1709323701131,Constituency office,,"Unit 7
10215 Kennedy Rd. N",Brampton,Ontario,L6Z 0C5,,289-298-1049,905-495-1041,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
2139,1709323701131,Ministry office,,"Ministry of Environment, Conservation and Parks
Whitney Block
Room 1304
99 Wellesley St. W",Toronto,Ontario,M7A 1S3,,416-314-6790,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
2139,1709323701131,Constituency office,,"The Victoria Center
Unit 6
84 Isabella St.",Pembroke,Ontario,K8A 5S5,,613-735-6627,613-735-6692,John.Yakabuskico@pc.ola.org,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
7523,1709323701131,Ministry office,,"Treasury Board Secretariat
Whitney Block
Room 4320
4th Floor
99 Wellesley St. W",Toronto,Ontario,M7A 1W3,,416-327-2333,,,,,https://www.ola.org/sites/default/files/node-files/office_csvs/offices-all.csv
