Honorific,"First name","Last name","Office type",Address,City,Province,"Postal code","Office email",Email,Telephone,Fax,Toll-free,TTY,"Riding name",Party,"Parliamentary role","Member ID",,,
,Sarah,Jama,"Constituency office","630 Main St. E
",Hamilton,ON,"L8M 1J7",SJama-CO@ola.org,,"905-544-9644  ","905-544-5152  ",,,"Hamilton Centre",Independent,,7624
,Sarah,Jama,"Legislative office","Room 472

111 Wellesley St. W
",Toronto,ON,"M7A 1A8",SJama-QP@ola.org,,416-325-3043,416-325-3046,,,"Hamilton Centre",Independent,,7624
,Adil,Shamji,"Legislative office","Room 157
Main Legislative Building, Queen's Park
",Toronto,ON,"M7A 1A5",,,416-325-0105,,,,"Don Valley East","Ontario Liberal Party",,7593
,Adil,Shamji,"Constituency office","Suite L02
1200 Lawrence Ave. E
",Toronto,ON,"M3A 1C1",ashamji.mpp.co@liberal.ola.org,,416-494-6856,416-494-9937,,,"Don Valley East","Ontario Liberal Party",,7593
,Patrice,Barnes,"Ministry office","Ministry of Education
5th Floor
438 University Ave.
",Toronto,ON,"M7A 2A5",,Patrice.Barnes@pc.ola.org,,,,,Ajax,"Progressive Conservative Party of Ontario",,7584
,Patrice,Barnes,"Constituency office","Suite 502
230 Westney Rd. S
",Ajax,ON,"L1S 7J5",,Patrice.Barnes@pc.ola.org,905-427-2060,905-427-6976,,,Ajax,"Progressive Conservative Party of Ontario",,7584
,Lucille,Collard,"Constituency office","237 Montreal Rd.
",Vanier,ON,"K1L 6C7",LCollard.mpp.co@liberal.ola.org,,613-744-4484,613-744-0889,,,Ottawa—Vanier,"Ontario Liberal Party",,7565
,Lucille,Collard,"Legislative office","Room 165
Main Legislative Building, Queen's Park
",Toronto,ON,"M7A 1A5",,,416-325-0007,416-325-0172,,,Ottawa—Vanier,"Ontario Liberal Party",,7565
,Stephen,Blais,"Constituency office","Unit 204
4473 Innes Rd.
",Orleans,ON,"K4A 1A7",sblais.mpp.co@liberal.ola.org,,613-834-8679,613-834-7647,,,Orléans,"Ontario Liberal Party",,7564
,Stephen,Blais,"Legislative office","Room 167
Main Legislative Building, Queen's Park
",Toronto,ON,"M7A 1A5",,,416-325-0035,,,,Orléans,"Ontario Liberal Party",,7564
,Vacant,seat,"Constituency office","Suite 500
151 Frederick St.
",Kitchener,ON,"N2H 2M2",Kitchener-CO@ndp.on.ca,,"519-579-5460  ","519-579-2121  ",,,,,,
Hon.,Stephen,Lecce,"Ministry office","Ministry of Education
5th Floor
438 University Ave.
",Toronto,ON,"M7A 2A5",,Stephen.Lecce@pc.ola.org,416-325-2600,,,,King—Vaughan,"Progressive Conservative Party of Ontario",,7479
Hon.,Stephen,Lecce,"Constituency office","Unit 1
2220 King Rd.
","King City",ON,"L7B 1L3",,Stephen.Lecce@pc.ola.org,"647-560-9700  ","647-560-9701 ",,,King—Vaughan,"Progressive Conservative Party of Ontario",,7479
,Natalia,Kusendova-Bashta,"Ministry office","Ministry of Francophone Affairs
Suite 23
777 Bay St.
",Toronto,ON,"M5G 2E5",,natalia.kusendova@pc.ola.org,416-326-7102,,,,"Mississauga Centre","Progressive Conservative Party of Ontario",,7489
,Natalia,Kusendova-Bashta,"Constituency office","Unit 701
50 Burnhamthorpe Road W.
",Mississauga,ON,"L5B 3C3",natalia.kusendovaco@pc.ola.org,natalia.kusendova@pc.ola.org,905-890-1901,,,,"Mississauga Centre","Progressive Conservative Party of Ontario",,7489
,Ric,Bresee,"Ministry office","Ministry of&nbsp;Natural Resources and Forestry
Whitney Block
Room 5501
99 Wellesley St. W
",Toronto,ON,"M7A 1W3",,Ric.Bresee@pc.ola.org,,,,,"Hastings—Lennox and Addington","Progressive Conservative Party of Ontario",,7601
